('1', '4', '8', '9', '+', '+', '+') = 22.0
('4', '1', '8', '-', '-') = 11.0
('4', '1', '8', '/', '/') = 32.0
('4', '1', '8', '*', '+') = 12.0
('4', '1', '8', '*', '*') = 32.0
('4', '1', '9', '+', '+') = 14.0
('4', '1', '9', '+', '*') = 40.0
('4', '1', '9', '-', '-') = 12.0
('4', '1', '9', '/', '/') = 36.0
('4', '1', '9', '*', '+') = 13.0
('4', '1', '9', '*', '*') = 36.0
('4', '8', '1', '+', '+') = 13.0
('4', '8', '1', '+', '*') = 36.0
('4', '8', '1', '-', '+') = 11.0
('4', '8', '1', '-', '*') = 28.0
('4', '8', '1', '/', '+') = 12.0
('4', '8', '1', '/', '*') = 32.0
('4', '8', '1', '*', '+') = 12.0
('4', '8', '1', '*', '*') = 32.0
('4', '8', '9', '+', '+') = 21.0
('4', '8', '9', '+', '*') = 68.0
('4', '8', '9', '-', '+') = 3.0
('4', '8', '9', '-', '-') = 5.0
('4', '8', '9', '*', '+') = 76.0
('4', '9', '1', '+', '+') = 14.0
('4', '9', '1', '+', '*') = 40.0
('4', '9', '1', '-', '+') = 12.0
('4', '9', '1', '-', '*') = 32.0
('4', '9', '1', '/', '+') = 13.0
('4', '9', '1', '/', '*') = 36.0
('4', '9', '1', '*', '+') = 13.0
('4', '9', '1', '*', '*') = 36.0
('4', '9', '8', '+', '+') = 21.0
('4', '9', '8', '+', '*') = 68.0
('4', '9', '8', '-', '+') = 5.0
('4', '9', '8', '-', '-') = 3.0
('4', '9', '8', '-', '/') = 4.0
('4', '9', '8', '-', '*') = 4.0
('4', '9', '8', '*', '+') = 76.0
('8', '1', '4', '+', '+') = 13.0
('8', '1', '4', '+', '-') = 3.0
('8', '1', '4', '+', '*') = 40.0
('8', '1', '4', '-', '+') = 5.0
('8', '1', '4', '-', '-') = 11.0
('8', '1', '4', '/', '/') = 32.0
('8', '1', '4', '/', '*') = 2.0
('8', '1', '4', '*', '+') = 12.0
('8', '1', '4', '*', '-') = 4.0
('8', '1', '4', '*', '/') = 2.0
('8', '1', '4', '*', '*') = 32.0
('8', '1', '9', '+', '+') = 18.0
('8', '1', '9', '+', '*') = 80.0
('8', '1', '9', '-', '-') = 16.0
('8', '1', '9', '/', '/') = 72.0
('8', '1', '9', '*', '+') = 17.0
('8', '1', '9', '*', '*') = 72.0
('8', '4', '1', '+', '+') = 13.0
('8', '4', '1', '+', '-') = 3.0
('8', '4', '1', '+', '*') = 40.0
('8', '4', '1', '-', '+') = 11.0
('8', '4', '1', '-', '-') = 5.0
('8', '4', '1', '-', '*') = 24.0
('8', '4', '1', '/', '+') = 12.0
('8', '4', '1', '/', '-') = 4.0
('8', '4', '1', '/', '/') = 2.0
('8', '4', '1', '/', '*') = 32.0
('8', '4', '1', '*', '+') = 12.0
('8', '4', '1', '*', '-') = 4.0
('8', '4', '1', '*', '/') = 2.0
('8', '4', '1', '*', '*') = 32.0
('8', '4', '9', '+', '+') = 21.0
('8', '4', '9', '-', '+') = 3.0
('8', '4', '9', '-', '-') = 13.0
('8', '4', '9', '/', '/') = 18.0
('8', '4', '9', '*', '+') = 44.0
('8', '9', '1', '+', '+') = 18.0
('8', '9', '1', '+', '*') = 80.0
('8', '9', '1', '-', '+') = 16.0
('8', '9', '1', '-', '/') = 1.0
('8', '9', '1', '-', '*') = 64.0
('8', '9', '1', '/', '+') = 17.0
('8', '9', '1', '/', '*') = 72.0
('8', '9', '1', '*', '+') = 17.0
('8', '9', '1', '*', '*') = 72.0
('8', '9', '4', '+', '+') = 21.0
('8', '9', '4', '-', '+') = 13.0
('8', '9', '4', '-', '-') = 3.0
('8', '9', '4', '-', '*') = 40.0
('8', '9', '4', '/', '*') = 18.0
('8', '9', '4', '*', '+') = 44.0
('9', '1', '4', '+', '+') = 14.0
('9', '1', '4', '+', '-') = 4.0
('9', '1', '4', '+', '*') = 45.0
('9', '1', '4', '-', '+') = 6.0
('9', '1', '4', '-', '-') = 12.0
('9', '1', '4', '/', '/') = 36.0
('9', '1', '4', '*', '+') = 13.0
('9', '1', '4', '*', '-') = 5.0
('9', '1', '4', '*', '*') = 36.0
('9', '1', '8', '+', '+') = 18.0
('9', '1', '8', '+', '/') = 1.0
('9', '1', '8', '+', '*') = 81.0
('9', '1', '8', '-', '+') = 2.0
('9', '1', '8', '-', '-') = 16.0
('9', '1', '8', '/', '/') = 72.0
('9', '1', '8', '*', '+') = 17.0
('9', '1', '8', '*', '-') = 1.0
('9', '1', '8', '*', '*') = 72.0
('9', '4', '1', '+', '+') = 14.0
('9', '4', '1', '+', '-') = 4.0
('9', '4', '1', '+', '*') = 45.0
('9', '4', '1', '-', '+') = 12.0
('9', '4', '1', '-', '-') = 6.0
('9', '4', '1', '-', '/') = 3.0
('9', '4', '1', '-', '*') = 27.0
('9', '4', '1', '/', '+') = 13.0
('9', '4', '1', '/', '-') = 5.0
('9', '4', '1', '/', '*') = 36.0
('9', '4', '1', '*', '+') = 13.0
('9', '4', '1', '*', '-') = 5.0
('9', '4', '1', '*', '*') = 36.0
('9', '4', '8', '+', '+') = 21.0
('9', '4', '8', '-', '+') = 5.0
('9', '4', '8', '-', '-') = 13.0
('9', '4', '8', '/', '/') = 18.0
('9', '4', '8', '*', '+') = 41.0
('9', '8', '1', '+', '+') = 18.0
('9', '8', '1', '+', '/') = 1.0
('9', '8', '1', '+', '*') = 81.0
('9', '8', '1', '-', '+') = 16.0
('9', '8', '1', '-', '-') = 2.0
('9', '8', '1', '-', '*') = 63.0
('9', '8', '1', '/', '+') = 17.0
('9', '8', '1', '/', '-') = 1.0
('9', '8', '1', '/', '*') = 72.0
('9', '8', '1', '*', '+') = 17.0
('9', '8', '1', '*', '-') = 1.0
('9', '8', '1', '*', '*') = 72.0
('9', '8', '4', '+', '+') = 21.0
('9', '8', '4', '-', '+') = 13.0
('9', '8', '4', '-', '-') = 5.0
('9', '8', '4', '-', '*') = 36.0
('9', '8', '4', '/', '+') = 11.0
('9', '8', '4', '/', '-') = 7.0
('9', '8', '4', '/', '*') = 18.0
('9', '8', '4', '*', '+') = 41.0
('1', '4', '+') = 5.0
('1', '4', '*') = 4.0
('1', '8', '+') = 9.0
('1', '8', '*') = 8.0
('1', '9', '+') = 10.0
('1', '9', '*') = 9.0
('4', '1', '+') = 5.0
('4', '1', '-') = 3.0
('4', '1', '/') = 4.0
('4', '1', '*') = 4.0
('4', '8', '+') = 12.0
('4', '8', '*') = 32.0
('4', '9', '+') = 13.0
('4', '9', '*') = 36.0
('8', '1', '+') = 9.0
('8', '1', '-') = 7.0
('8', '1', '/') = 8.0
('8', '1', '*') = 8.0
('8', '4', '+') = 12.0
('8', '4', '-') = 4.0
('8', '4', '/') = 2.0
('8', '4', '*') = 32.0
('8', '9', '+') = 17.0
('8', '9', '*') = 72.0
('9', '1', '+') = 10.0
('9', '1', '-') = 8.0
('9', '1', '/') = 9.0
('9', '1', '*') = 9.0
('9', '4', '+') = 13.0
('9', '4', '-') = 5.0
('9', '4', '*') = 36.0
('9', '8', '+') = 17.0
('9', '8', '-') = 1.0
('9', '8', '*') = 72.0
('1',) = 1.0
('4',) = 4.0
('8',) = 8.0
('9',) = 9.0
